"first.sensor","second.sensor","new.psi","Psi"
"10","15",13.4586081161641,20.1442278579874
"10","21",1.77579433018172,5.97473153049028
"11","10",2.24316291441814,3.03923777719427
"11","12",1.85624686203219,3.18455440841255
"11","14",1.56224644651398,2.76520893159606
"11","15",9.0990421040778,30.1283978650521
"11","16",1.76410193918392,7.42281749740629
"11","17",5.8275203492356,9.71745857285181
"11","20",1.59537649986055,3.1755633014201
"11","21",2.45321989428763,6.44706853791752
"11","6",6.76491817163934,10.472260038611
"11","7",6.3391457913883,10.185199169226
"11","8",5.9113475536711,5.4236751960044
"11","9",1.70361111477645,3.38783394290366
"12","10",1.46835091276804,1.94086916130304
"12","14",0.959015240955286,1.39300549496262
"12","15",21.1663493058871,27.3123603026887
"12","21",1.71465977154291,7.07631362936234
"12","6",5.50711185950632,12.3876331720728
"12","7",1.57598139662032,6.98578374960618
"13","10",3.6802867454498,6.09466262315875
"13","11",6.21526775386647,6.27318947556945
"13","12",3.17485661409262,4.41896585274513
"13","14",2.94618202255662,5.07313153716172
"13","15",30.9504122070284,43.3444405316481
"13","16",3.2051946337347,11.0911764083164
"13","17",2.81745168585861,20.4215573050552
"13","20",2.535109372156,4.46387070859192
"13","21",7.61049969722453,10.0717354204835
"13","6",4.48094882418591,17.6151833338225
"13","7",2.63935067761662,10.9381997196549
"13","8",2.29548408514326,5.66198716563982
"13","9",2.83554060701701,5.43256297663526
"14","10",1.26960937921992,1.5875217506932
"14","15",21.2595556399049,26.811755717206
"14","21",1.40975115000828,6.89452279570648
"14","6",5.12474591839343,12.2596029603685
"14","7",1.52412690450234,6.63960284047381
"15","21",19.7841194303247,33.6932384912358
"16","10",2.44339046380467,4.63821587922244
"16","12",1.44396446223611,5.96090947648188
"16","14",1.22419479839771,5.33447467411369
"16","15",28.9631344834698,36.1044970119275
"16","21",2.16585536518167,6.92975624517062
"16","6",5.83058910438904,15.2102803815631
"16","7",2.11169527307991,4.26551136211784
"17","10",1.775050639692,12.5759813946005
"17","12",1.36635841013549,14.9178715054399
"17","14",1.40944946694025,15.6957361437821
"17","15",24.0138869416449,51.6044041936763
"17","16",2.21359756105496,25.3117957414362
"17","21",2.41264093213974,19.3082516757644
"17","6",6.40609395332596,18.1307234958298
"17","7",1.97704370047348,25.1022330445753
"19","10",3.78392623051037,16.0350197050153
"19","11",1.36149563201577,13.2429307644138
"19","12",2.98545736761622,20.4894801428864
"19","13",5.01137746617798,29.7247946434289
"19","14",3.18423676869244,20.9903201773361
"19","15",19.2065272027669,31.2341306432066
"19","16",2.29853223176476,29.0457241261819
"19","17",3.48298531276864,20.7319358874451
"19","20",2.32735300878395,26.4646298562314
"19","21",2.49997376797044,10.2484486921979
"19","6",6.86397974057024,12.3864074895416
"19","7",6.05550935206797,30.5111466576113
"19","8",4.84698596036762,32.2656408101166
"19","9",3.60493853979608,18.502128184685
"20","10",1.89001995841842,2.54878622551281
"20","12",1.28439435340268,1.83473800351379
"20","14",1.21548313472563,1.72690552352812
"20","15",24.3171928179807,34.2626703761926
"20","16",1.45359076922704,7.09063178157282
"20","17",1.33272909719884,19.6985858856069
"20","21",1.73146215652579,7.89568243495377
"20","6",5.62400948157215,14.9079434504018
"20","7",1.63127086542952,8.82881183978782
"20","8",1.46433304606683,3.06004786821918
"6","10",6.20670228476007,10.0818544199072
"6","15",37.4300814579054,35.4036219904357
"6","21",8.08698863620076,8.24329191581383
"7","10",2.43178450675039,6.05180432326358
"7","15",30.1677146404439,41.0460735892381
"7","21",7.24430472413911,8.42438994041246
"7","6",5.577683928853,16.1784831901716
"8","10",2.52422345726001,3.89444581643994
"8","12",1.85699417466934,3.05353694194903
"8","14",1.59712937604108,2.94621730284056
"8","15",30.4799383573538,44.4883292326143
"8","16",2.49790168035228,8.40028616221741
"8","17",1.80493626561593,26.2022261137808
"8","21",1.92068301956203,12.3989313106883
"8","6",5.03997389562271,21.3490393419337
"8","7",1.95258477570785,9.21441438484171
"9","10",1.32615716742071,1.85615186361226
"9","12",1.20784047578665,2.03430583811826
"9","14",1.19549479057548,1.57375829411439
"9","15",21.2774282868864,28.4768706892428
"9","16",2.05786965505736,5.94940671347506
"9","17",1.44498498529821,14.5457759376711
"9","20",1.23308253668628,1.95814114878086
"9","21",1.58424347254613,7.17687573583926
"9","6",5.4726652883377,11.5291147495688
"9","7",1.89918727731167,6.68185896204497
"9","8",1.56899861075513,2.75377320993697
