"A","B","psi"
"16","14",1.15770542399786
"16","12",0.87967216192148
"16","8",2.71939771212533
"16","9",1.55208005079315
"16","15",12.1628673216634
"16","20",1.19336342130135
"16","7",2.14151822109021
"16","10",2.14443442624549
"16","13",4.48169884233328
"16","19",1.1711315708208
"16","21",2.07786167929087
"16","11",1.24425475252798
"16","6",4.11640059369457
"16","17",2.79534287530091
"16","1",2.74033930633982
"14","12",0.862826920483865
"14","8",1.87264310945489
"14","9",1.11546916254776
"14","15",11.1980398027529
"14","20",1.21011828109577
"14","7",1.70674280624803
"14","10",1.41575237693473
"14","13",3.67128124283844
"14","19",1.39622298529568
"14","21",1.48824905432579
"14","11",1.0762254774745
"14","6",3.6794107183675
"14","17",1.76926820729398
"14","1",2.27805963741843
"12","8",1.85809715490854
"12","9",1.20743063330595
"12","15",10.833368907666
"12","20",1.1663089961177
"12","7",1.94427949567082
"12","10",1.70545679497306
"12","13",3.90559803033522
"12","19",1.13029170031089
"12","21",1.65880923658904
"12","11",1.34600043031445
"12","6",3.83670796087485
"12","17",2.72404283170894
"12","1",2.36925812665797
"8","9",1.43872966817731
"8","15",16.1324237202514
"8","20",1.6504964469645
"8","7",1.65470140019126
"8","10",3.65897927897847
"8","13",1.92567765272447
"8","19",3.52538588536977
"8","21",2.07706164859514
"8","11",3.32113542726114
"8","6",3.03419081495225
"8","17",3.1649234167081
"8","1",1.76845345985893
"9","15",11.59340045517
"9","20",1.07031892352332
"9","7",1.60265575638336
"9","10",1.74288296959016
"9","13",2.71145212146869
"9","19",1.56685668139861
"9","21",1.50058876917483
"9","11",1.36731361320404
"9","6",2.70336978623838
"9","17",2.17281093133049
"9","1",1.83853315805536
"15","20",13.9021444514111
"15","7",15.8942802980332
"15","10",9.08231104717498
"15","13",16.9363329579006
"15","19",12.1372995961469
"15","21",13.4241630539597
"15","11",11.183222935599
"15","6",20.4384174403176
"15","17",8.99858968182203
"15","1",7.66616013937178
"20","7",1.72793271093532
"20","10",2.18578364113559
"20","13",3.27538853600626
"20","19",1.28368503774345
"20","21",1.81235844772273
"20","11",1.23735300417685
"20","6",2.9799116149863
"20","17",1.8107681563778
"20","1",2.20510299788831
"7","10",3.03388836558097
"7","13",2.14164145820283
"7","19",3.21446910241519
"7","21",1.94795046619949
"7","11",3.21835962574341
"7","6",3.15617675359853
"7","17",3.18586850448348
"7","1",1.95884932589097
"10","13",4.18996589144894
"10","19",1.94231540095156
"10","21",1.81560411571399
"10","11",1.80975546334803
"10","6",3.81924243734147
"10","17",2.70136174227075
"10","1",2.70344452015294
"13","19",3.70440096890952
"13","21",4.10820478886838
"13","11",4.54032227099873
"13","6",2.49804385743618
"13","17",3.06712993524703
"13","1",2.83100947591202
"19","21",2.14304190689056
"19","11",1.31328703505161
"19","6",5.02160468587195
"19","17",2.76400155031318
"19","1",3.05545929169187
"21","11",2.00830563976677
"21","6",5.04163775344425
"21","17",2.08025506382665
"21","1",3.16344019966541
"11","6",4.51060496460317
"11","17",1.83231679693384
"11","1",3.00487759438509
"6","17",3.35168119094421
"6","1",3.0633775814171
"17","1",1.86050053622705
